index,ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,target,feasible
373418,48.0,8.0,4.0,32.0,1024.0,256.0,1.0,5.0,-8171.00819312565,True
224722,20.0,32.0,2.0,96.0,256.0,256.0,2.0,20.0,-2075.10642554387,True
414771,48.0,48.0,1.0,32.0,256.0,50.0,1.0,10.0,-2802.69118870076,True
415565,48.0,48.0,1.0,160.0,256.0,256.0,1.0,50.0,-2352.69924500782,True
481781,72.0,48.0,4.0,192.0,256.0,50.0,1.0,50.0,-4892.41916091839,True
341825,32.0,24.0,3.0,160.0,256.0,50.0,3.0,50.0,-1885.44259445599,True
432052,72.0,8.0,2.0,96.0,256.0,50.0,1.0,20.0,-3825.77501531247,True
415544,48.0,48.0,1.0,160.0,256.0,50.0,2.0,5.0,-1625.03575832973,True
227955,20.0,32.0,4.0,128.0,256.0,50.0,1.0,10.0,-2218.03892643278,True
46152,8.0,48.0,1.0,32.0,256.0,256.0,1.0,1.0,-1490.74898856266,True
9274,8.0,12.0,2.0,32.0,256.0,50.0,2.0,20.0,-1072.17664104429,True
8500,8.0,12.0,1.0,160.0,256.0,50.0,1.0,20.0,-1629.60593978744,True
165898,16.0,32.0,4.0,32.0,256.0,10.0,2.0,20.0,-3259.75950413325,True
50718,8.0,48.0,4.0,32.0,256.0,30.0,2.0,1.0,-4268.86640773988,True
299592,24.0,72.0,1.0,32.0,256.0,256.0,1.0,1.0,-1983.8751960206,True
355090,32.0,48.0,2.0,64.0,256.0,256.0,2.0,20.0,-2639.66805222204,True
55354,8.0,72.0,2.0,32.0,256.0,50.0,2.0,20.0,-2356.44320984436,True
46138,8.0,48.0,1.0,32.0,256.0,50.0,2.0,20.0,-1624.91963297721,True
7760,8.0,12.0,1.0,32.0,256.0,256.0,2.0,5.0,-1898.09349117667,True
354891,32.0,48.0,2.0,32.0,256.0,256.0,1.0,10.0,-1853.91819827922,True
353931,32.0,48.0,1.0,128.0,256.0,256.0,1.0,10.0,-1676.91408801296,True
425530,48.0,72.0,3.0,32.0,256.0,50.0,2.0,20.0,-3776.68289233747,True
46133,8.0,48.0,1.0,32.0,256.0,50.0,1.0,50.0,-1092.04724483893,True
635,8.0,8.0,1.0,128.0,256.0,50.0,2.0,50.0,-833.567782483956,True
50153,8.0,48.0,3.0,192.0,256.0,30.0,3.0,50.0,-3240.30435089495,True
48204,8.0,48.0,2.0,128.0,256.0,10.0,3.0,1.0,-2716.25260941179,True
201274,20.0,16.0,2.0,32.0,256.0,50.0,2.0,20.0,-2596.83820655969,True
338933,32.0,24.0,1.0,192.0,256.0,50.0,1.0,50.0,-1308.23931733911,True
407861,48.0,32.0,1.0,160.0,256.0,50.0,1.0,50.0,-2851.30023655246,True
356513,32.0,48.0,3.0,32.0,1024.0,50.0,3.0,50.0,-10054.4700711562,True
30771,8.0,24.0,1.0,32.0,256.0,50.0,1.0,10.0,-1053.51353290983,True
47116,8.0,48.0,1.0,192.0,256.0,256.0,1.0,20.0,-1939.39651742536,True
380403,48.0,12.0,3.0,192.0,256.0,50.0,1.0,10.0,-3927.27064708247,True
46529,8.0,48.0,1.0,96.0,256.0,50.0,3.0,50.0,-1637.00863171879,True
337969,32.0,24.0,1.0,32.0,256.0,50.0,1.0,2.0,-1220.37332963981,True
30797,8.0,24.0,1.0,32.0,256.0,256.0,1.0,50.0,-1729.82799638145,True
353362,32.0,48.0,1.0,32.0,256.0,256.0,2.0,20.0,-2091.22951989516,True
215122,20.0,24.0,1.0,32.0,256.0,256.0,2.0,20.0,-1996.07464915593,True
463380,72.0,24.0,2.0,192.0,256.0,256.0,3.0,1.0,-3214.14362012242,True
346421,32.0,32.0,1.0,160.0,256.0,50.0,1.0,50.0,-1546.9116445688,True
338389,32.0,24.0,1.0,96.0,256.0,256.0,3.0,2.0,-1591.53802850961,True
308129,32.0,8.0,1.0,160.0,1024.0,50.0,3.0,50.0,-6550.09085294221,True
338771,32.0,24.0,1.0,160.0,256.0,256.0,2.0,50.0,-1829.50953873262,True
353525,32.0,48.0,1.0,64.0,256.0,50.0,1.0,50.0,-1725.01240916053,True
322992,32.0,16.0,1.0,96.0,256.0,50.0,1.0,1.0,-1400.84485326022,True
54318,8.0,72.0,1.0,96.0,1024.0,256.0,2.0,1.0,-5616.41625450551,True
416883,48.0,48.0,2.0,128.0,256.0,50.0,1.0,10.0,-3549.00893523335,True
33558,8.0,24.0,2.0,224.0,1024.0,50.0,2.0,1.0,-6048.36390613828,True
23760,8.0,20.0,1.0,128.0,1024.0,50.0,1.0,1.0,-3077.8077865788,True
31344,8.0,24.0,1.0,128.0,256.0,50.0,1.0,1.0,-1356.09217684941,True
38451,8.0,32.0,1.0,32.0,256.0,50.0,1.0,10.0,-1402.50318640028,True
337980,32.0,24.0,1.0,32.0,256.0,50.0,3.0,1.0,-1597.52297715065,True
46141,8.0,48.0,1.0,32.0,256.0,50.0,3.0,2.0,-1487.54611092189,True
46325,8.0,48.0,1.0,64.0,256.0,50.0,1.0,50.0,-1976.1172269067,True
365621,32.0,72.0,4.0,32.0,256.0,50.0,1.0,50.0,-4062.87267166475,True
216631,20.0,24.0,2.0,32.0,256.0,50.0,2.0,2.0,-1554.56629117797,True
261585,24.0,16.0,1.0,96.0,256.0,256.0,2.0,10.0,-1620.88909758912,True
101434,12.0,32.0,2.0,32.0,256.0,50.0,2.0,20.0,-1310.4377853393,True
353524,32.0,48.0,1.0,64.0,256.0,50.0,1.0,20.0,-1620.90895011546,True
368688,48.0,8.0,1.0,32.0,256.0,50.0,1.0,1.0,-1998.32740466373,True
39989,8.0,32.0,2.0,32.0,256.0,50.0,1.0,50.0,-1299.83136577704,True
337972,32.0,24.0,1.0,32.0,256.0,50.0,1.0,20.0,-1714.82156048105,True
224320,20.0,32.0,2.0,32.0,256.0,50.0,3.0,20.0,-1674.05941706674,True
46156,8.0,48.0,1.0,32.0,256.0,256.0,1.0,20.0,-1393.77663548695,True
46913,8.0,48.0,1.0,160.0,256.0,50.0,3.0,50.0,-1514.36199403821,True
238731,20.0,72.0,1.0,128.0,256.0,256.0,1.0,10.0,-1747.97077285092,True
32410,8.0,24.0,2.0,32.0,1024.0,50.0,2.0,20.0,-4944.65279642926,True
55360,8.0,72.0,2.0,32.0,256.0,50.0,3.0,20.0,-2341.95160986688,True
417844,48.0,48.0,3.0,32.0,256.0,50.0,1.0,20.0,-2602.45439528549,True
53765,8.0,72.0,1.0,32.0,256.0,10.0,1.0,50.0,-2101.06199294088,True
31753,8.0,24.0,1.0,192.0,256.0,256.0,1.0,2.0,-1802.873945053,True
