index,parallelism_ffmpeg-0,parallelism_librosa,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_deepspeech,target,feasible
82,4.0,6.0,2.0,4.0,4.0,-0.523083333,True
75,2.0,2.0,4.0,6.0,2.0,-0.523680556,True
116,2.0,4.0,2.0,4.0,2.0,-0.457611111,True
26,4.0,4.0,4.0,6.0,4.0,-0.335936681,True
29,4.0,6.0,2.0,6.0,4.0,-0.430708333,True
252,2.0,2.0,2.0,4.0,2.0,-0.54725,False
66,2.0,6.0,4.0,8.0,4.0,-0.506138889,True
164,4.0,4.0,2.0,2.0,4.0,-2.081097222,True
27,4.0,6.0,4.0,4.0,2.0,-0.852930556,True
117,4.0,2.0,2.0,4.0,4.0,-0.848291667,True
33,4.0,6.0,2.0,8.0,2.0,-0.326393083,True
3,4.0,6.0,4.0,8.0,4.0,-0.177944444,True
71,4.0,4.0,2.0,8.0,4.0,-0.413611111,True
40,4.0,6.0,4.0,6.0,2.0,-0.354989264,True
4,4.0,6.0,4.0,8.0,4.0,-0.177944444,True
79,4.0,6.0,2.0,6.0,4.0,-0.430708333,True
40,4.0,6.0,4.0,6.0,2.0,-0.354989264,True
5,4.0,6.0,4.0,6.0,4.0,-0.635833333,True
93,4.0,4.0,2.0,8.0,2.0,-0.449402778,True
