index,#vm,ram,target,feasible
545,18.0,0.7,-4087908,False
684,6.0,4.0,-1615170,False
72,9.0,0.2,-8322471,False
681,6.0,4.0,-1411944,False
682,6.0,4.0,-1401816,False
676,6.0,4.0,-1615170,False
685,6.0,4.0,-1615170,False
566,20.0,0.7,-4271920,False
474,12.0,0.7,-4027260,False
686,3.0,9.0,-757503,False
567,20.0,0.7,-4170180,False
582,20.0,0.7,-4132180,False
560,18.0,0.7,-4123332,False
223,19.0,0.2,-9025988,False
551,18.0,0.7,-4266774,False
547,18.0,0.7,-5813136,False
550,18.0,0.7,-5813136,False
556,18.0,0.7,-4264236,False
576,20.0,0.7,-4161240,False
579,20.0,0.7,-4193800,False
561,18.0,0.7,-4075326,False
687,3.0,9.0,-693243,False
676,6.0,4.0,-1409808,False
691,3.0,9.0,-757503,False
541,18.0,0.7,-4022118,False
690,3.0,9.0,-711864,False
175,17.0,0.2,-9642026,False
694,3.0,9.0,-712923,False
690,3.0,9.0,-714453,False
688,3.0,9.0,-716487,False
225,19.0,0.2,-9175271,False
695,3.0,9.0,-683682,False
689,3.0,9.0,-707841,False
