index,confidence,hypo_step,max_arm_length,num_threads,target,feasible
8548,44,2,3,4,-62984,False
4601,34,3,14,17,-150535,False
6198,24,1,6,12,-176112,False
8547,54,2,3,4,-64864,False
8551,14,2,3,4,-70192,False
8837,34,2,3,3,-65328,False
12006,24,2,3,12,-99900,False
7972,44,2,3,6,-67464,False
8026,44,2,16,5,-101265,False
8296,44,2,1,5,-61470,False
8585,34,2,1,4,-56084,False
7142,64,2,1,9,-76797,False
13195,14,2,1,8,-71824,False
9451,14,2,1,1,-53721,False
6998,64,2,9,9,-101619,False
8568,24,2,2,4,-64260,False
13189,14,3,1,8,-70688,False
8291,34,3,1,5,-49160,False
8580,24,3,1,4,-40196,False
8526,24,3,4,4,-53760,False
8868,24,3,1,3,-41529,False
8867,34,3,1,3,-40638,False
8865,54,3,1,3,-43437,False
6848,64,3,1,10,-72060,False
16411,64,1,1,32,-366688,False
6277,14,3,1,12,-71520,False
11456,64,3,1,14,-81424,False
8581,14,3,1,4,-42604,False
12055,14,3,16,11,-91036,False
8302,44,1,1,5,-109445,False
16019,64,3,1,22,-147048,False
8579,34,3,1,4,-40560,False
10028,64,1,1,19,-242649,False
10597,14,3,1,17,-112166,False
2021,14,3,16,25,-175325,False
8576,64,3,1,4,-41524,False
8288,64,3,1,5,-49665,False
8577,54,3,1,4,-41504,False
6563,34,3,1,11,-82709,False
8580,24,3,1,4,-40196,False
7165,14,2,16,8,-116336,False
5,14,3,16,32,-225216,False
7154,64,3,16,8,-95784,False
8867,34,3,1,3,-40638,False
8486,64,3,6,4,-56340,False
11762,64,3,16,12,-136356,False
10592,64,3,1,17,-102459,False
8580,24,3,1,4,-40196,False
5990,64,2,1,13,-95641,False
8580,24,3,1,4,-40196,False
8580,24,3,1,4,-40196,False
13207,14,3,16,7,-79814,False
8580,24,3,1,4,-40196,False
8580,24,3,1,4,-40196,False
8580,24,3,1,4,-40196,False
8580,24,3,1,4,-40196,False
2003,14,3,1,26,-152282,False
8580,24,3,1,4,-40196,False
2321,14,1,16,24,-333696,False
14675,64,3,1,29,-178988,False
8580,24,3,1,4,-40196,False
8580,24,3,1,4,-40196,False
8578,44,3,1,4,-40312,False
