Starting label pr__ei, seed 165578320, iteration 0, time: 0.00010585784912109375, current best obj: -inf.
Starting label pr__ei, seed 165578320, iteration 1, time: 207.65018939971924, current best obj: -inf.
Starting label pr__ei, seed 165578320, iteration 2, time: 373.15086030960083, current best obj: -4156.82959566812.
Starting label pr__ei, seed 165578320, iteration 3, time: 547.7349805831909, current best obj: -4156.82959566812.
Starting label pr__ei, seed 165578320, iteration 4, time: 728.720358133316, current best obj: -4156.82959566812.
Starting label pr__ei, seed 165578320, iteration 5, time: 930.8058228492737, current best obj: -4156.82959566812.
Starting label pr__ei, seed 165578320, iteration 6, time: 1129.4197909832, current best obj: -4138.46794812585.
Starting label pr__ei, seed 165578320, iteration 7, time: 1338.1798379421234, current best obj: -4138.46794812585.
Starting label pr__ei, seed 165578320, iteration 8, time: 1724.7498033046722, current best obj: -4138.46794812585.
Starting label pr__ei, seed 165578320, iteration 9, time: 2186.0555641651154, current best obj: -4138.46794812585.
Starting label pr__ei, seed 165578320, iteration 10, time: 2608.233096599579, current best obj: -1779.14520853981.
Starting label pr__ei, seed 165578320, iteration 11, time: 3035.1131553649902, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 12, time: 3501.974490880966, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 13, time: 3978.6334221363068, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 14, time: 4534.875820159912, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 15, time: 5277.606843471527, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 16, time: 6127.158736944199, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 17, time: 6965.135573387146, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 18, time: 7842.268043518066, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 19, time: 8773.031879425049, current best obj: -1565.79512611545.
Starting label pr__ei, seed 165578320, iteration 20, time: 9760.718935966492, current best obj: -1565.79512611545.
