Starting label pr__ei, seed 417328447, iteration 0, time: 0.0001704692840576172, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 1, time: 201.6537046432495, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 2, time: 365.7392942905426, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 3, time: 541.7818520069122, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 4, time: 723.5042943954468, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 5, time: 912.7160797119141, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 6, time: 1128.6420059204102, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 7, time: 1348.4664273262024, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 8, time: 1715.5972607135773, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 9, time: 2121.627581357956, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 10, time: 2543.200390100479, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 11, time: 3044.8377180099487, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 12, time: 3554.015953540802, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 13, time: 4106.648983478546, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 14, time: 4688.724229335785, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 15, time: 5466.737518787384, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 16, time: 6279.332039356232, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 17, time: 7128.2696442604065, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 18, time: 8018.596089601517, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 19, time: 8938.430515050888, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 20, time: 9905.107520580292, current best obj: -1298.1933505959.
Starting label pr__ei, seed 417328447, iteration 21, time: 11201.964361667633, current best obj: -1298.1933505959.
