Starting label pr__ei, seed 402665503, iteration 0, time: 8.082389831542969e-05, current best obj: -inf.
Starting label pr__ei, seed 402665503, iteration 1, time: 30.972537994384766, current best obj: -inf.
Starting label pr__ei, seed 402665503, iteration 2, time: 61.04975366592407, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 3, time: 91.18173742294312, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 4, time: 127.80080938339233, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 5, time: 164.84420442581177, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 6, time: 201.99622654914856, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 7, time: 239.2325463294983, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 8, time: 276.44987392425537, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 9, time: 313.63238644599915, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 10, time: 350.84741973876953, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 11, time: 388.12321949005127, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 12, time: 425.34900307655334, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 13, time: 462.5562093257904, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 14, time: 499.8132493495941, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 15, time: 537.0551481246948, current best obj: -4142446.0.
Starting label pr__ei, seed 402665503, iteration 16, time: 574.3750238418579, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 17, time: 611.641491651535, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 18, time: 648.9020566940308, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 19, time: 686.1428782939911, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 20, time: 723.4092135429382, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 21, time: 760.7592675685883, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 22, time: 798.2036736011505, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 23, time: 842.7030920982361, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 24, time: 887.866601228714, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 25, time: 932.9876871109009, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 26, time: 978.336731672287, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 27, time: 1023.6143636703491, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 28, time: 1069.7385454177856, current best obj: -4101548.0.
Starting label pr__ei, seed 402665503, iteration 29, time: 1115.7177731990814, current best obj: -4101548.0.
