Starting label pr__ei, seed 661589973, iteration 0, time: 0.00013399124145507812, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 1, time: 31.17738652229309, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 2, time: 61.47234582901001, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 3, time: 91.83692693710327, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 4, time: 128.76673936843872, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 5, time: 165.96965074539185, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 6, time: 203.08989930152893, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 7, time: 240.18504428863525, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 8, time: 277.29564142227173, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 9, time: 314.4904189109802, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 10, time: 351.7087769508362, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 11, time: 388.9285101890564, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 12, time: 426.3929135799408, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 13, time: 463.8950078487396, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 14, time: 501.1860156059265, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 15, time: 538.5790266990662, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 16, time: 575.8231363296509, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 17, time: 613.1836733818054, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 18, time: 650.5126662254333, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 19, time: 687.8657882213593, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 20, time: 725.3772397041321, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 21, time: 763.0528328418732, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 22, time: 800.7741069793701, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 23, time: 845.4690432548523, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 24, time: 890.6048839092255, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 25, time: 935.9101572036743, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 26, time: 980.755797624588, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 27, time: 1026.2480704784393, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 28, time: 1072.4826254844666, current best obj: -4101548.0.
Starting label pr__ei, seed 661589973, iteration 29, time: 1118.7230467796326, current best obj: -4101548.0.
