Starting label pr__ei, seed 877862216, iteration 0, time: 0.00010085105895996094, current best obj: -inf.
Starting label pr__ei, seed 877862216, iteration 1, time: 33.448198556900024, current best obj: -inf.
Starting label pr__ei, seed 877862216, iteration 2, time: 66.19202446937561, current best obj: -inf.
Starting label pr__ei, seed 877862216, iteration 3, time: 99.02589988708496, current best obj: -inf.
Starting label pr__ei, seed 877862216, iteration 4, time: 138.22195959091187, current best obj: -inf.
Starting label pr__ei, seed 877862216, iteration 5, time: 177.29648971557617, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 6, time: 215.79460883140564, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 7, time: 254.5750904083252, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 8, time: 294.21394991874695, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 9, time: 335.3872673511505, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 10, time: 374.4698374271393, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 11, time: 414.0893700122833, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 12, time: 455.29089879989624, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 13, time: 494.4868223667145, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 14, time: 532.8394641876221, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 15, time: 574.2549986839294, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 16, time: 615.347770690918, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 17, time: 653.9188141822815, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 18, time: 691.3811411857605, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 19, time: 728.9825274944305, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 20, time: 766.271900177002, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 21, time: 803.6505479812622, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 22, time: 841.3404242992401, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 23, time: 886.1258738040924, current best obj: -4162158.0.
Starting label pr__ei, seed 877862216, iteration 24, time: 930.9783067703247, current best obj: -4124054.0.
Starting label pr__ei, seed 877862216, iteration 25, time: 976.3468425273895, current best obj: -4124054.0.
Starting label pr__ei, seed 877862216, iteration 26, time: 1021.1542611122131, current best obj: -4124054.0.
Starting label pr__ei, seed 877862216, iteration 27, time: 1065.7198474407196, current best obj: -4124054.0.
Starting label pr__ei, seed 877862216, iteration 28, time: 1111.7623550891876, current best obj: -4124054.0.
Starting label pr__ei, seed 877862216, iteration 29, time: 1159.1843466758728, current best obj: -4124054.0.
