Starting label pr__ei, seed 676839701, iteration 0, time: 0.00016307830810546875, current best obj: -66056.0.
Starting label pr__ei, seed 676839701, iteration 1, time: 48.763901233673096, current best obj: -66056.0.
Starting label pr__ei, seed 676839701, iteration 2, time: 94.53335547447205, current best obj: -66056.0.
Starting label pr__ei, seed 676839701, iteration 3, time: 141.84468245506287, current best obj: -56322.0.
Starting label pr__ei, seed 676839701, iteration 4, time: 188.57730317115784, current best obj: -56322.0.
Starting label pr__ei, seed 676839701, iteration 5, time: 237.16434526443481, current best obj: -49665.0.
Starting label pr__ei, seed 676839701, iteration 6, time: 282.45628452301025, current best obj: -49665.0.
Starting label pr__ei, seed 676839701, iteration 7, time: 329.4131672382355, current best obj: -41504.0.
Starting label pr__ei, seed 676839701, iteration 8, time: 378.0682899951935, current best obj: -41504.0.
Starting label pr__ei, seed 676839701, iteration 9, time: 426.3681139945984, current best obj: -41504.0.
Starting label pr__ei, seed 676839701, iteration 10, time: 477.1243803501129, current best obj: -41504.0.
Starting label pr__ei, seed 676839701, iteration 11, time: 522.1946880817413, current best obj: -41504.0.
Starting label pr__ei, seed 676839701, iteration 12, time: 570.9358420372009, current best obj: -41504.0.
Starting label pr__ei, seed 676839701, iteration 13, time: 619.3912806510925, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 14, time: 671.0664291381836, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 15, time: 716.7640111446381, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 16, time: 766.8969080448151, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 17, time: 815.9298973083496, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 18, time: 867.8308062553406, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 19, time: 917.5968902111053, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 20, time: 967.3666687011719, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 21, time: 1018.0595090389252, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 22, time: 1070.2136936187744, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 23, time: 1127.6762297153473, current best obj: -40560.0.
Starting label pr__ei, seed 676839701, iteration 24, time: 1181.6112287044525, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 25, time: 1237.1134243011475, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 26, time: 1297.2436933517456, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 27, time: 1353.7520751953125, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 28, time: 1412.0260705947876, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 29, time: 1470.5588119029999, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 30, time: 1531.2761640548706, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 31, time: 1588.617318868637, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 32, time: 1646.7284042835236, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 33, time: 1705.7950093746185, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 34, time: 1766.5416264533997, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 35, time: 1823.9738183021545, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 36, time: 1884.708359003067, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 37, time: 1945.9285218715668, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 38, time: 2007.8314957618713, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 39, time: 2061.6202647686005, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 40, time: 2115.7811031341553, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 41, time: 2170.518221139908, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 42, time: 2218.339841365814, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 43, time: 2266.376722574234, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 44, time: 2314.59179520607, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 45, time: 2363.082895755768, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 46, time: 2411.8725600242615, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 47, time: 2460.954269170761, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 48, time: 2510.1844029426575, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 49, time: 2557.391319990158, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 50, time: 2604.7036225795746, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 51, time: 2652.1152877807617, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 52, time: 2699.9583580493927, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 53, time: 2748.3322348594666, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 54, time: 2796.7941105365753, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 55, time: 2845.097586631775, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 56, time: 2893.2855348587036, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 57, time: 2941.642673254013, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 58, time: 2990.0027239322662, current best obj: -40312.0.
Starting label pr__ei, seed 676839701, iteration 59, time: 3038.381974220276, current best obj: -40312.0.
